"","Viral_Family","Vogue1A.01.61","Vogue1A.01.106","Vogue1B2.01.11","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101","Vogue1B.01.03","Vogue1B.01.48"
"2","Adenoviridae",76,23,10,15,9,48,23,25,10,198,8,20,22,5,21,6,5,20,54,24,6,13,16,9,10,13,9,13,21,28,20,28,9,24,8,8,5,99,8,801,9,5,17,60,22,31,19,23,15,27,13,17,13,30
"3","Alloherpesviridae",3,3,2,0,0,0,1,0,1,1,0,3,3,0,1,0,0,0,1,8,0,0,0,0,0,1,0,0,1,0,0,1,5,7,1,0,0,0,1,2,1,0,7,0,0,0,0,1,0,0,1,1,2,1
"4","Alphaflexiviridae",3,1,1,6,1,1,3,0,1,22,3,3,5,0,1,0,0,0,19,5,0,0,1,1,0,3,0,0,4,0,5,6,9,5,0,0,2,26,0,1,2,0,1,2,0,1,3,1,1,1,2,2,4,2
"5","Ampullaviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Anelloviridae",0,0,0,8,1,1,33,1,0,1,0,335,0,0,0,2,0,0,32,7,0,63,4,1,0,1,12,34,0,0,22,6,8,65,73,0,20,0,0,0,1,0,2,0,0,34,1,6,0,0,0,0,0,31
"7","Ascoviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Baculoviridae",9,2,2,5,1,6,4,9,2,10,1,9,11,6,3,3,0,1,28,4,0,24,19,9,8,12,1,3,10,0,6,1,9,13,4,24,3,4,6,3,4,23,772,5,1,1,5,8,1,3,5,12,7,13
"9","Bicaudaviridae",0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10","Caliciviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"11","Caulimoviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Chrysoviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Circoviridae",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Flaviviridae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"15","Fuselloviridae",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0
"16","Hepadnaviridae",0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Herpesviridae",101,82,90,63,12,84,83,95,81,836,33,46,83,23,52,858,1090626,71,174,88,72,2214,84,1870,127,85,87,2634,136,51,95,20,220,165,31,115,36,8,35,171,61,32,142,23,24,239,85,105,39,68,76,59,105,87
"18","Hytrosaviridae",0,0,0,0,0,0,0,1,0,119,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"19","Iridoviridae",3,4,8,2,0,1,1,2,0,32,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,5,0,0,6,0,1,29,0,8,0,2,0,0,0,2,2,0,2,0,0,1,2,3,1,4,1,2,0,2
"20","Lipothrixviridae",0,1,0,0,0,0,0,0,9,0,0,3,0,0,0,24,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,0,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
"21","Marseilleviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Mimiviridae",2,6,6,45,52,0,0,1,6,41,1,1,3,2,1,4,1,2,0,3,11,14,1,1,2,1,292,18,1,0,1,12,76,1,83,6,3,0,3,0,3,49,2,8,3,0,0,0,1,1,2,33,0,2
"23","Myoviridae",89,19,7,38,23,8,23,21,77,344,8,179,43,12307,500,585,1,72,34,252,121,77,10,40,482,19,56,187,25,115,117,7947,4245,27,26,97,64,104,625,3,12,84,115,335,12,9,17,18,55,17,21,62,124,55
"24","Nimaviridae",7,0,0,0,0,4,2,4,0,3,0,19,2,0,0,1,0,0,1,12,0,0,1,7,1,0,0,1,0,0,0,50,0,1,0,0,0,0,0,0,0,0,1,3,0,4,8,5,0,0,0,1,0,5
"25","Nudiviridae",2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5
"26","Other dsDNA Viruses",24,20,30,122,3,7,28,15,10,176,3,46,37,6,16,17,13,6,47,9,74,28,18,10,46,22,8,20,32,7,15,14,101,180,21,17,7,0,34,14,18,5,146,7,3,18,13,25,6,22,8,22,17,40
"27","Other Phages",3,0,0,42,40,19,0,9,1,339,2,4,46,9,1,159,0,2,0,501,5,19,57,73,42,0,57,1,11,0,37,333,28,0,4,100,11,5,897,0,1,0,0,412,3,0,0,0,4,4,10,0,733,3
"28","Other ssDNA Viruses",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Other ssRNA positive Viruses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Other Viruses",5,2,1,10,9,3,2,2,36,940,1,37,2,94,12,38,0,14,47,134,20,58,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,51,0,45,0,1,51,0,153,2,2,0,0,0,1,0,1,1,1
"31","Papillomaviridae",9085,159,168,363,12,3637,208,331,246,134,1099163,216,231,293,284918,1491,97,147,158,4057,18025,1789,2510,267,173,282,769248,6198,522,163,478609,4505,318,144935,883,717773,84,63,95426,192,112,131,435,43,88,196,189,227,154,1072,4046,188,2228,776
"32","Parvoviridae",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"33","Phycodnaviridae",218,132,46,163,74,226,172,117,163,434,65,285,230,22,110,71,71,134,503,85,4,88,132,55,13,122,22,15,209,71,162,189,373,289,21,19,344,236,21,48,105,112,1226,238,36,139,78,164,103,129,71,144,182,329
"34","Picornaviridae",72,1,2,5,10,3,9,6,6,1,1,0,6,1,2792,3,343,7,7,1,5,3,7,5,0,8,4,4,8,5,8,3,1,3,3,7,1,29,36,5,0,4,0,16,10,5,3,4,2,4,2,1,5,4
"35","Podoviridae",252,33,4,10,16,23,17,9,210,874,574,705,16,14,3429,122,2,6,26,33,12,227,19,8,2492,5,15,16,7,182,12,510,265,18,57,129,22,134,1053,4,4,196,4,10,19798,3,8,27,3,5,5,3,10,6
"36","Polydnaviridae",21,43,53,29,3,6,25,16,5,168,2,43,31,4,23,4,6,12,14,6,0,5,8,34,1,52,12,1,30,12,13,7,7,1407,5,16,0,1,3,25,38,1,41,3,5,15,16,27,3,20,10,34,12,15
"37","Polyomaviridae",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16,0,4,0,0,0,0,1,0,106,7,1,1,1,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,1,0
"38","Poxviridae",150,0,1,2,1,0,0,1,0,1,0,1,2,0,0,1,1,0,0,0,1,0,2,8,1,0,0,2,0,2,0,4,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,0,1,2
"39","Reoviridae",0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,0,15
